,armstrong,rozado,wen,wang,karvonen,zollo,yin
armstrong,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rozado,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaeb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lippens,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seshadri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
karvonen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zollo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
