armstrong,rozado,wen,wang,karvonen,zollo,yin
1.1409395973154361,1.2624113475177305,1.018987341772152,1.380597014925373,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.1700680272108843,0.8529411764705882,1.309090909090909
0.0,0.0,0.0,1.0448717948717947,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9216867469879518,1.3984962406015038,1.2,0.8875739644970414,1.1125827814569536,1.032258064516129,1.0483870967741935
1.3984962406015038,1.1409395973154361,1.4351145038167938,1.4351145038167938,1.058064516129032,0.9090909090909092,1.3962264150943398
1.018987341772152,1.1554054054054055,1.2464788732394367,1.3115942028985508,0.9813664596273292,1.3291666666666668,1.3962264150943398
0.0,0.0,0.0,0.0,0.0,1.25,2.175
1.1125827814569536,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.2785714285714287,1.058064516129032,0.5637254901960784,0.0,0.0,0.0
