,armstrong,rozado,wen,wang,karvonen,zollo,yin
armstrong,0.9250000000000458,-0.09000000000023246,1.592665579598374,2.439018673059475,0.7625000000000698,-0.037499999999754896,1.2562500000000878
rozado,0.40062500000002776,0.037499999999987814,1.1219243574184237,2.1668026395052165,0.3956250000000635,0.6312499999999243,-0.3437499999999652
wen,0.015000000000000154,-0.22062499999982071,1.3013010437450616,1.259081329655068,0.5493750000000749,-1.8797782580029003,-0.1156249999999834
wang,-3.8999999999997903,1.3999999999999884,-0.9000000000000694,-1.799999999999959,-0.500000000000019,14.500000000000014,-3.750000000000001
gaeb,0.4949999999997168,0.05500000000000876,1.8957611533912178,0.585209294146235,0.28000000000023684,0.6999999999997311,-0.037499999999944425
lippens,0.7662500000001473,-0.23749999999993485,0.790031939573886,1.4600988557840462,0.5062500000000812,0.18749999999997297,0.4093750000000125
seshadri,0.4662500000000336,-0.09437500000002409,0.4431682999813526,0.847707538791403,0.4374999999999636,-0.5562500000000672,-0.6874999999999614
karvonen,0.3150000000000486,0.3012499999999457,1.042035859332527,0.724783047250592,5.505625000000066,-0.05937500000007414,-2.3515624999999756
zollo,0.7775000000001059,-0.19999999999987916,1.057415237818529,2.270894891886129,0.10500000000000315,-1.5125000000004354,0.03124999999999694
yin,0.16999999999999985,-0.21499999999992558,1.405000000000223,0.287500000000035,0.5699999999999273,-1.0000000000005163,-0.6249999999997952
