,armstrong,rozado,wen,wang,karvonen,zollo,yin
armstrong,0.792499999999371,0.12249999999921275,1.5099999999999676,1.6424999999998362,1.6175000000001176,0.03749999999962026,0.5562499999999952
rozado,0.3475000000000914,-0.04937500000016577,0.5487499999999167,-0.23937500000009887,0.912500000000033,0.04062500000008008,0.19218749999990797
wen,0.48000000000002113,0.30812500000012216,0.36000000000000415,1.0712500000000629,0.9350000000001912,0.07812499999998185,0.40312500000001145
wang,-0.400000000000043,0.20000000000024964,-1.9999999999999023,0.40000000000009184,1.8000000000001153,-5.500000000000014,5.000000000000039
gaeb,0.2724999999995566,0.2950000000007572,0.17500000000045338,-0.27999999999979236,1.55500000000049,0.037499999999869485,0.4562499999996682
lippens,0.4556250000000637,0.3206249999999997,0.7443750000000415,0.8823057297469156,0.8706250000000736,0.4124999999999577,1.0984374999999116
seshadri,0.3306250000001251,0.3525000000000649,0.519374999999937,0.25250000000002537,0.3118749999999022,0.26562499999994754,0.40312499999993845
karvonen,0.4568750000001209,0.23250000000010634,0.47187500000001514,0.7743749999999643,0.47812500000001806,0.07812499999993275,0.878124999999974
zollo,0.39750000000034846,-0.06249999999973869,0.5674999999994755,0.7875000000001908,1.345000000000474,0.02499999999997854,0.21874999999982198
yin,0.3977500473728244,0.3249999999995886,0.05000000000013295,0.4674999999999417,0.9224999999998708,-0.10000000000020866,-1.4937499999999901
