,armstrong,rozado,wen,wang,karvonen,zollo,yin
armstrong,0.951219512195122,0.9950124688279303,1.0618556701030928,1.0018793073992047,0.8823529411764706,1.0,0.9631901840490796
rozado,1.0671834625322998,1.185792349726776,0.9704433497536946,1.049373807347541,1.0565552699228793,0.9047619047619047,0.9753086419753088
wen,0.9002375296912114,1.1333333333333333,0.9900497512437811,1.0081677933130317,0.8957345971563981,0.951219512195122,1.077922077922078
wang,0.6666666666666667,1.4999999999999998,1.4999999999999998,0.6666666666666667,1.4999999999999998,0.0,1.0
gaeb,0.9002375296912114,0.9002375296912114,0.909307875894988,1.0170407196969697,1.094240837696335,1.1333333333333333,0.9631901840490796
lippens,0.839080459770115,0.8912529550827423,0.9464720194647201,1.0183136117116094,1.0887728459530026,0.8823529411764706,1.0512820512820513
seshadri,1.0460358056265984,0.7204301075268816,0.9704433497536946,1.033724958506191,0.9704433497536946,0.8604651162790699,1.020582001148947
karvonen,0.9851116625310173,1.359882005899705,1.2408963585434174,1.0395647620750428,1.0512820512820513,0.9047619047619047,0.951219512195122
zollo,0.9704433497536946,0.9656019656019655,1.0050125313283207,0.9656019656019655,0.8264840182648402,1.0512820512820513,1.17687074829932
yin,0.9323671497584541,0.762114537444934,1.0428260869565218,1.075997594395592,0.8823529411764706,1.3188405797101448,0.8604651162790699
