,armstrong,rozado,wen,wang,karvonen,zollo,yin
armstrong,0.23000000000071225,0.0,0.1300000000002529,0.8272086493828514,0.447499999999926,6.262499999999883,0.5375000000001185
rozado,0.5518750000001069,-0.2093750000001172,-0.3049999999999969,0.0143795079309675,0.7543749999999363,-0.10937499999992542,0.47343749999998946
wen,0.5824999999999434,0.1843750000000456,0.0693750000001477,0.25178278687756733,0.3793750000000816,2.5593749999999056,0.21406250000003416
wang,-1.500000000000044,-0.5000000000001087,-0.40000000000006924,-6.999999999999978,5.900000000000201,6.4999999999999805,-2.249999999999989
gaeb,1.3550000000000706,-0.28499999999970865,-0.18250000000059016,-0.5900000000001109,0.5849999999998897,-4.100000000000042,0.7624999999997859
lippens,0.5237500000000354,-0.09562499999991804,-0.3800000000000006,-0.4218193740519303,0.1081249999999755,1.1843749999999538,0.20781250000001708
seshadri,0.3643750000001516,0.05749999999989819,0.804375000000045,0.1807031948717932,0.05437500000004942,-0.6781250000000911,-0.4721932357211993
karvonen,0.379999999999917,0.20250000000001345,0.6537499999999814,-0.15285556525532565,0.7525000000000488,-0.7718750000001043,0.43750000000003214
zollo,0.47750000000000764,0.49250000000007327,0.6524999999997627,0.9275000000001257,-1.2150000000008923,3.0874999999996646,1.1500000000001092
yin,-1.260000000000298,0.2575000000004006,0.5625000000004768,-0.692499999999956,0.8150000000003484,0.13749999999969034,-0.5625000000000656
